split_type	split	model	mean	std
by_plate	1	densenet121	0.909	0.03580502757993633
by_plate	1	densenet161	0.93575	0.03227357019812548
by_plate	1	efficientnet_m	0.91825	0.037160687112413104
by_plate	1	efficientnet_s	0.93775	0.03358943286213684
by_plate	1	resnet101	0.89375	0.041812079594299036
by_plate	1	resnet18	0.88225	0.04471670083238854
by_plate	1	resnet34	0.77075	0.13455451187777634
by_plate	1	resnet50	0.8715	0.05721013896155123
by_plate	2	densenet121	0.97975	0.007320063751999228
by_plate	2	densenet161	0.9552499999999999	0.015499999999999972
by_plate	2	efficientnet_m	0.9644999999999999	0.01973997635932395
by_plate	2	efficientnet_s	0.96075	0.012867918764638433
by_plate	2	resnet101	0.9724999999999999	0.014548768561863473
by_plate	2	resnet18	0.96475	0.019972898304118695
by_plate	2	resnet34	0.97525	0.009604686356149273
by_plate	2	resnet50	0.95225	0.04847250079512436
by_plate	3	densenet121	0.907	0.014023789311975112
by_plate	3	densenet161	0.922	0.014445299120013563
by_plate	3	efficientnet_m	0.9	0.01476482306023343
by_plate	3	efficientnet_s	0.90075	0.02940946559641414
by_plate	3	resnet101	0.91275	0.03871584516275813
by_plate	3	resnet18	0.88775	0.05792164247210763
by_plate	3	resnet34	0.8665	0.05679495282740061
by_plate	3	resnet50	0.909	0.044181444068749035
by_plate	4	densenet121	0.92325	0.03496069221282666
by_plate	4	densenet161	0.877	0.13816174096567635
by_plate	4	efficientnet_m	0.93425	0.016780444968275805
by_plate	4	efficientnet_s	0.93375	0.017858238061652862
by_plate	4	resnet101	0.9365	0.017136705245369237
by_plate	4	resnet18	0.9259999999999999	0.040849316599750655
by_plate	4	resnet34	0.9305	0.023130067012440733
by_plate	4	resnet50	0.925	0.014071247279470254
