split_type	split	model	mean	std
random	1	densenet121	0.937	0.01971463077682824
random	1	densenet161	0.94875	0.005909032633745295
random	1	efficientnet_m	0.9432499999999999	0.026961392150010845
random	1	efficientnet_s	0.967	0.008679477710861055
random	1	resnet101	0.9365	0.025877918514955245
random	1	resnet18	0.9582499999999999	0.011586630226256464
random	1	resnet34	0.95225	0.016317168872080706
random	1	resnet50	0.9522499999999999	0.013961255912942281
random	2	densenet121	0.9255	0.028112867753634287
random	2	densenet161	0.9445	0.0152861593170641
random	2	efficientnet_m	0.92325	0.02048373338367135
random	2	efficientnet_s	0.947	0.006879922480183488
random	2	resnet101	0.89725	0.05142875330655672
random	2	resnet18	0.9285	0.01642153058233811
random	2	resnet34	0.93575	0.016700798384109213
random	2	resnet50	0.9235	0.01963839776220723
random	3	densenet121	0.9215	0.015716233645501676
random	3	densenet161	0.9492499999999999	0.008180260794538697
random	3	efficientnet_m	0.9395	0.00776745346515401
random	3	efficientnet_s	0.94775	0.002217355782608322
random	3	resnet101	0.941	0.009899494936611686
random	3	resnet18	0.923	0.018547236990991398
random	3	resnet34	0.94025	0.00910585891976513
random	3	resnet50	0.9432499999999999	0.016007810593582108
random	4	densenet121	0.92625	0.017557049866079418
random	4	densenet161	0.91725	0.03327035717672213
random	4	efficientnet_m	0.9339999999999999	0.03063766744820282
random	4	efficientnet_s	0.951	0.019113694915775276
random	4	resnet101	0.94875	0.04141155233345721
random	4	resnet18	0.9472499999999999	0.018518009252256717
random	4	resnet34	0.90125	0.04389665894651512
random	4	resnet50	0.952	0.01471960144387969
