label	prediction	row	column	fov	experiment	treatment	concentration	genus	species	strain	cell_line	control	phagocytic_activity channel_names
0	0	r01	c01	f01	Plate4	unrelated2	10.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c01	f02	Plate4	unrelated2	10.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c01	f03	Plate4	unrelated2	10.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c01	f04	Plate4	unrelated2	10.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c01	f05	Plate4	unrelated2	10.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c01	f06	Plate4	unrelated2	10.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c01	f07	Plate4	unrelated2	10.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c01	f08	Plate4	unrelated2	10.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c01	f09	Plate4	unrelated2	10.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c01	f10	Plate4	unrelated2	10.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c02	f01	Plate4	unrelated2	5.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c02	f02	Plate4	unrelated2	5.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c02	f03	Plate4	unrelated2	5.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c02	f04	Plate4	unrelated2	5.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c02	f05	Plate4	unrelated2	5.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c02	f06	Plate4	unrelated2	5.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c02	f07	Plate4	unrelated2	5.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c02	f08	Plate4	unrelated2	5.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c02	f09	Plate4	unrelated2	5.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c02	f10	Plate4	unrelated2	5.0	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c03	f01	Plate4	unrelated2	2.5	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c03	f02	Plate4	unrelated2	2.5	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c03	f03	Plate4	unrelated2	2.5	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c03	f04	Plate4	unrelated2	2.5	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c03	f05	Plate4	unrelated2	2.5	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c03	f06	Plate4	unrelated2	2.5	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c03	f07	Plate4	unrelated2	2.5	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c03	f08	Plate4	unrelated2	2.5	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c03	f09	Plate4	unrelated2	2.5	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c03	f10	Plate4	unrelated2	2.5	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c04	f01	Plate4	unrelated2	1.25	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c04	f02	Plate4	unrelated2	1.25	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c04	f03	Plate4	unrelated2	1.25	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c04	f04	Plate4	unrelated2	1.25	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c04	f05	Plate4	unrelated2	1.25	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c04	f06	Plate4	unrelated2	1.25	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c04	f07	Plate4	unrelated2	1.25	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c04	f08	Plate4	unrelated2	1.25	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c04	f09	Plate4	unrelated2	1.25	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c04	f10	Plate4	unrelated2	1.25	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c05	f01	Plate4	unrelated2	0.625	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c05	f02	Plate4	unrelated2	0.625	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c05	f03	Plate4	unrelated2	0.625	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c05	f04	Plate4	unrelated2	0.625	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c05	f05	Plate4	unrelated2	0.625	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c05	f06	Plate4	unrelated2	0.625	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c05	f07	Plate4	unrelated2	0.625	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c05	f08	Plate4	unrelated2	0.625	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c05	f09	Plate4	unrelated2	0.625	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c05	f10	Plate4	unrelated2	0.625	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c06	f01	Plate4	unrelated2	0.312	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
0	0	r01	c06	f02	Plate4	unrelated2	0.312	Shigella	flexneri	f1	THP-1	no	no	['CellMask', 'mCherry', 'A488', 'DAPI']
